"","Location","Denomination","Month","Weekday","Type","Theme","Age","Promotion","Coupons","Weather","Coin.in"
"3","1st Floor - Front","Penny","Mar","Sunday","5 Reel","American",3,"Daily Special","None","wet",673
"4","1st Floor - Front","Penny","Apr","Tuesday","4 Reel","History",11,"VIP","None","steamy",872
"6","1st Floor - Front","Penny","Apr","Sunday","Progressive","Travel",10,"Monthy Player","None","balmy",671
"7","1st Floor - Front","Penny","Apr","Sunday","Bonus Video","Animals",10,"Daily Special","None","stormy",475
"10","1st Floor - Front","Penny","Jun","Thursday","4 Reel","Riches",15,"VIP","None","raw",88
"11","1st Floor - Front","Penny","Jun","Sunday","4 Reel","Sea",3,"Monthy Player","None","rainy",790
"13","1st Floor - Front","Penny","Aug","Friday","Progressive","Other",2,"VIP","None","showery",1030
"14","1st Floor - Front","Penny","Sep","Tuesday","4 Reel","Entertainment",6,"Daily Special","None","blusterous",353
"15","1st Floor - Front","Penny","Oct","Wednesday","Bonus Video","Sea",4,"Monthy Player","None","misty",823
"18","1st Floor - Front","Penny","Dec","Thursday","5 Reel","Movies",11,"Daily Special","None","icy",728
"19","1st Floor - Front","Penny","Dec","Friday","4 Reel","Horror",5,"Monthy Player","None","sunny",319
"20","1st Floor - Front","Two Cent","Jan","Tuesday","Bonus Video","Classic Symbols",2,"New Player","None","drizzly",373
"21","1st Floor - Front","Two Cent","Feb","Monday","5 Reel","Magic",19,"Monthy Player","None","drizzly",177
"22","1st Floor - Front","Two Cent","Mar","Sunday","4 Reel","Casinos",17,"Daily Special","None","crummy",1472
"23","1st Floor - Front","Two Cent","Apr","Friday","Progressive","History",14,"None","None","arid",591
"24","1st Floor - Front","Two Cent","Apr","Sunday","Progressive","Travel",7,"New Player","None","rainy",909
"26","1st Floor - Front","Two Cent","Jun","Sunday","4 Reel","Retro",2,"Daily Special","None","mild",52
"27","1st Floor - Front","Two Cent","Aug","Thursday","5 Reel","Movies",5,"VIP","None","sunny",232
"28","1st Floor - Front","Two Cent","Aug","Sunday","Progressive","Love",8,"None","None","dead",647
"29","1st Floor - Front","Two Cent","Oct","Friday","4 Reel","Retro",2,"New Player","None","revolting",58
"31","1st Floor - Front","Nickel","Jan","Monday","5 Reel","American",11,"Monthy Player","None","tempestuous",1051
"33","1st Floor - Front","Nickel","Feb","Monday","Progressive","Movies",17,"Monthy Player","None","cold",193
"34","1st Floor - Front","Nickel","Feb","Thursday","Progressive","Horror",7,"Monthy Player","None","bad",1445
"35","1st Floor - Front","Nickel","Feb","Friday","5 Reel","Casinos",1,"Monthy Player","None","drizzly",1100
"36","1st Floor - Front","Nickel","Feb","Friday","Bonus Video","Sea",20,"New Player","None","balmy",822
"38","1st Floor - Front","Nickel","Mar","Friday","Progressive","American",10,"Daily Special","None","damp",1064
"39","1st Floor - Front","Nickel","Apr","Thursday","4 Reel","Fruit",19,"New Player","None","blusterous",919
"40","1st Floor - Front","Nickel","Apr","Thursday","Bonus Video","American",2,"VIP","None","wet",1142
"41","1st Floor - Front","Nickel","Apr","Sunday","4 Reel","Classic Symbols",8,"Monthy Player","None","calm",1335
"42","1st Floor - Front","Nickel","Apr","Sunday","5 Reel","Love",12,"None","None","muggy",610
"43","1st Floor - Front","Nickel","Jun","Tuesday","Bonus Video","Casinos",19,"Monthy Player","None","clear",1168
"44","1st Floor - Front","Nickel","Jun","Wednesday","Progressive","Retro",6,"None","None","calm",861
"45","1st Floor - Front","Nickel","Jul","Monday","Bonus Video","Fruit",3,"None","None","clear",244
"46","1st Floor - Front","Nickel","Jul","Wednesday","Bonus Video","Other",13,"Daily Special","None","bad",643
"48","1st Floor - Front","Nickel","Sep","Monday","5 Reel","Regional",16,"New Player","None","misty",705
"49","1st Floor - Front","Nickel","Sep","Tuesday","5 Reel","Food",20,"New Player","None","crummy",759
"51","1st Floor - Front","Nickel","Oct","Monday","Progressive","Adventure",18,"Daily Special","None","cold",435
"52","1st Floor - Front","Nickel","Oct","Monday","Bonus Video","Food",6,"None","None","snow",1244
"54","1st Floor - Front","Nickel","Nov","Friday","Bonus Video","Casinos",11,"Monthy Player","None","wet",1197
"56","1st Floor - Front","Dime","Feb","Tuesday","Bonus Video","Travel",6,"Daily Special","None","raw",402
"57","1st Floor - Front","Dime","Feb","Thursday","5 Reel","Other",1,"Monthy Player","None","humid",1121
"60","1st Floor - Front","Dime","Mar","Tuesday","Progressive","Fruit",11,"VIP","None","hazy",725
"61","1st Floor - Front","Dime","Mar","Thursday","Bonus Video","Magic",18,"None","None","humid",125
"64","1st Floor - Front","Dime","May","Friday","4 Reel","Fairy Tale",10,"Daily Special","None","rainy",1036
"65","1st Floor - Front","Dime","Jun","Tuesday","Bonus Video","Entertainment",19,"Monthy Player","None","hazy",92
"67","1st Floor - Front","Dime","Jun","Sunday","Bonus Video","American",12,"None","None","stormy",1489
"68","1st Floor - Front","Dime","Jul","Wednesday","4 Reel","Magic",16,"VIP","None","dead",1241
"69","1st Floor - Front","Dime","Jul","Friday","4 Reel","Casinos",20,"New Player","None","bitter",791
"70","1st Floor - Front","Dime","Aug","Sunday","5 Reel","Movies",17,"VIP","None","windy",712
"74","1st Floor - Front","Quarter","Jan","Thursday","Progressive","Holidays",16,"Daily Special","None","clear",181
"75","1st Floor - Front","Quarter","Feb","Thursday","4 Reel","Holidays",4,"VIP","None","snow",28
"76","1st Floor - Front","Quarter","Feb","Sunday","4 Reel","Regional",12,"Daily Special","None","humid",958
"80","1st Floor - Front","Quarter","Mar","Sunday","4 Reel","Travel",10,"New Player","None","misty",336
"81","1st Floor - Front","Quarter","Jun","Friday","5 Reel","Retro",17,"Monthy Player","None","raw",686
"83","1st Floor - Front","Quarter","Oct","Wednesday","Bonus Video","Holidays",1,"Daily Special","None","tempestuous",906
"85","1st Floor - Front","Quarter","Dec","Tuesday","4 Reel","Fruit",3,"New Player","None","stormy",927
"86","1st Floor - Front","Quarter","Dec","Thursday","5 Reel","Holidays",12,"VIP","None","scorching",1287
"88","1st Floor - Front","Half Dollar","Mar","Monday","Bonus Video","Retro",14,"Monthy Player","None","arid",249
"89","1st Floor - Front","Half Dollar","Mar","Tuesday","5 Reel","Travel",11,"Daily Special","None","scorching",379
"91","1st Floor - Front","Half Dollar","May","Sunday","5 Reel","Magic",8,"None","None","muggy",806
"93","1st Floor - Front","Half Dollar","Jun","Tuesday","5 Reel","Food",16,"New Player","None","damp",1081
"94","1st Floor - Front","Half Dollar","Jun","Friday","4 Reel","Fairy Tale",4,"Daily Special","None","blusterous",1266
"96","1st Floor - Front","Half Dollar","Oct","Thursday","4 Reel","Regional",18,"None","None","rainy",508
"97","1st Floor - Front","Half Dollar","Nov","Friday","Progressive","Other",1,"New Player","None","dark",690
"98","1st Floor - Front","Half Dollar","Nov","Sunday","4 Reel","Retro",7,"New Player","None","cloudy",552
"99","1st Floor - Front","Half Dollar","Nov","Sunday","5 Reel","Fairy Tale",18,"Monthy Player","None","misty",640
"100","1st Floor - Front","Half Dollar","Nov","Sunday","5 Reel","Food",3,"VIP","None","damp",1271
"101","1st Floor - Front","Half Dollar","Dec","Wednesday","4 Reel","Animals",5,"None","None","cloudy",110
"103","1st Floor - Front","Dollar","Jan","Sunday","5 Reel","Magic",16,"Monthy Player","None","showery",953
"107","1st Floor - Front","Dollar","Oct","Monday","Progressive","Regional",3,"Daily Special","None","misty",298
