Location,Denomination,Month,Weekday,Type,Theme,Age,Promotion,Coupons,Weather,Coin-in
1st Floor - Front,Penny,Feb,Sunday,5 Reel,Love,18,New Player,None,stormy,9999
1st Floor - Front,Penny,Mar,Tuesday,Progressive,Entertainment,6,Daily Special,None,balmy,1505
1st Floor - Front,Penny,Mar,Sunday,5 Reel,American,3,Daily Special,None,wet,673
1st Floor - Front,Penny,Apr,Tuesday,4 Reel,History,11,VIP,None,steamy,872
1st Floor - Front,Penny,Apr,Friday,Progressive,Holidays,19,VIP,None,frosty,7900
1st Floor - Front,Penny,Apr,Sunday,Progressive,Travel,10,Monthy Player,None,balmy,671
1st Floor - Front,Penny,Apr,Sunday,Bonus Video,Animals,10,Daily Special,None,stormy,475
1st Floor - Front,Penny,May,Tuesday,5 Reel,Regional,9,None,None,bad,1750
1st Floor - Front,Penny,Jun,Wednesday,Progressive,Movies,5,Monthy Player,None,calm,8888
1st Floor - Front,Penny,Jun,Thursday,4 Reel,Riches,15,VIP,None,raw,88
1st Floor - Front,Penny,Jun,Sunday,4 Reel,Sea,3,Monthy Player,None,rainy,790
1st Floor - Front,Penny,Jul,Friday,4 Reel,Movies,9,Monthy Player,None,frosty,-7792
1st Floor - Front,Penny,Aug,Friday,Progressive,Other,2,VIP,None,showery,1030
1st Floor - Front,Penny,Sep,Tuesday,4 Reel,Entertainment,6,Daily Special,None,blusterous,353
1st Floor - Front,Penny,Oct,Wednesday,Bonus Video,Sea,4,Monthy Player,None,misty,823
1st Floor - Front,Penny,Nov,Tuesday,4 Reel,Love,3,VIP,None,dead,1789
1st Floor - Front,Penny,Nov,Thursday,Bonus Video,Food,14,New Player,None,frosty,1648
1st Floor - Front,Penny,Dec,Thursday,5 Reel,Movies,11,Daily Special,None,icy,728
1st Floor - Front,Penny,Dec,Friday,4 Reel,Horror,5,Monthy Player,None,sunny,319
1st Floor - Front,Two Cent,Jan,Tuesday,Bonus Video,Classic Symbols,2,New Player,None,drizzly,373
1st Floor - Front,Two Cent,Feb,Monday,5 Reel,Magic,19,Monthy Player,None,drizzly,177
1st Floor - Front,Two Cent,Mar,Sunday,4 Reel,Casinos,17,Daily Special,None,crummy,1472
1st Floor - Front,Two Cent,Apr,Friday,Progressive,History,14,None,None,arid,591
1st Floor - Front,Two Cent,Apr,Sunday,Progressive,Travel,7,New Player,None,rainy,909
1st Floor - Front,Two Cent,May,Tuesday,Bonus Video,Sea,19,None,None,frosty,1691
1st Floor - Front,Two Cent,Jun,Sunday,4 Reel,Retro,2,Daily Special,None,mild,52
1st Floor - Front,Two Cent,Aug,Thursday,5 Reel,Movies,5,VIP,None,sunny,232
1st Floor - Front,Two Cent,Aug,Sunday,Progressive,Love,8,None,None,dead,647
1st Floor - Front,Two Cent,Oct,Friday,4 Reel,Retro,2,New Player,None,revolting,58
1st Floor - Front,Two Cent,Nov,Sunday,Bonus Video,Food,20,Daily Special,None,cold,1788
1st Floor - Front,Nickel,Jan,Monday,5 Reel,American,11,Monthy Player,None,tempestuous,1051
1st Floor - Front,Nickel,Feb,Monday,5 Reel,American,6,Daily Special,None,humid,1931
1st Floor - Front,Nickel,Feb,Monday,Progressive,Movies,17,Monthy Player,None,cold,193
1st Floor - Front,Nickel,Feb,Thursday,Progressive,Horror,7,Monthy Player,None,bad,1445
1st Floor - Front,Nickel,Feb,Friday,5 Reel,Casinos,1,Monthy Player,None,drizzly,1100
1st Floor - Front,Nickel,Feb,Friday,Bonus Video,Sea,20,New Player,None,balmy,822
1st Floor - Front,Nickel,Mar,Monday,4 Reel,Food,11,New Player,None,steamy,1694
1st Floor - Front,Nickel,Mar,Friday,Progressive,American,10,Daily Special,None,damp,1064
1st Floor - Front,Nickel,Apr,Thursday,4 Reel,Fruit,19,New Player,None,blusterous,919
1st Floor - Front,Nickel,Apr,Thursday,Bonus Video,American,2,VIP,None,wet,1142
1st Floor - Front,Nickel,Apr,Sunday,4 Reel,Classic Symbols,8,Monthy Player,None,calm,1335
1st Floor - Front,Nickel,Apr,Sunday,5 Reel,Love,12,None,None,muggy,610
1st Floor - Front,Nickel,Jun,Tuesday,Bonus Video,Casinos,19,Monthy Player,None,clear,1168
1st Floor - Front,Nickel,Jun,Wednesday,Progressive,Retro,6,None,None,calm,861
1st Floor - Front,Nickel,Jul,Monday,Bonus Video,Fruit,3,None,None,clear,244
1st Floor - Front,Nickel,Jul,Wednesday,Bonus Video,Other,13,Daily Special,None,bad,643
1st Floor - Front,Nickel,Aug,Thursday,4 Reel,Sea,20,Daily Special,None,muggy,1743
1st Floor - Front,Nickel,Sep,Monday,5 Reel,Regional,16,New Player,None,misty,705
1st Floor - Front,Nickel,Sep,Tuesday,5 Reel,Food,20,New Player,None,crummy,759
1st Floor - Front,Nickel,Oct,Monday,5 Reel,Movies,3,Monthy Player,None,stormy,1906
1st Floor - Front,Nickel,Oct,Monday,Progressive,Adventure,18,Daily Special,None,cold,435
1st Floor - Front,Nickel,Oct,Monday,Bonus Video,Food,6,None,None,snow,1244
1st Floor - Front,Nickel,Nov,Thursday,5 Reel,American,16,VIP,None,misty,1604
1st Floor - Front,Nickel,Nov,Friday,Bonus Video,Casinos,11,Monthy Player,None,wet,1197
